"WBS #","Name / Title",Type,"Start Date","End Date","Estimated Hours","Actual Hours","Percent Complete",Resources,Predecessors,Notes,Comments,"Task Color"
1,"CloudNine Gantt Chart",project,2024-01-11,2024-04-24,0,0,0,,,,,
1.1,"Setup + Early Research",group,2024-01-11,2024-01-28,0,0,0,,,,,
1.1.1,"Jira/Github Setup",task,2024-01-11,2024-01-18,0,0,0,,,,,blue1
1.1.2,"Practice Github merges",task,2024-01-16,2024-01-23,0,0,0,,,,,blue1
1.1.3,"Decide on a programming language",task,2024-01-16,2024-01-23,0,0,0,,,,,blue1
1.1.4,"Decide on how to manage the database",task,2024-01-16,2024-01-23,0,0,0,,,,,blue1
1.1.5,"Set up Docker environment",task,2024-01-20,2024-01-28,0,0,0,,,,,blue1
1.2,Documentation/Planning,group,2024-01-29,2024-02-16,0,0,0,,,,,
1.2.1,"Create first requirements document",task,2024-01-29,2024-02-02,0,0,0,,,,,purple1
1.2.2,"Create first functional specification document",task,2024-01-29,2024-02-02,0,0,0,,,,,purple1
1.2.3,"Create first Gantt chart",task,2024-01-29,2024-02-01,0,0,0,,,,,purple1
1.2.4,"Configure Docker",task,2024-02-01,2024-02-08,0,0,0,,,,,green3
1.2.5,"Submit Checkpoint One",milestone,2024-02-02,2024-02-02,0,0,0,,,,,brown1
1.2.6,"Create database schema/tables",task,2024-02-04,2024-02-14,0,0,0,,,,,green3
1.2.7,"Submit Checkpoint Two",milestone,2024-02-16,2024-02-16,0,0,0,,,,,brown1
1.3,Analysis/Design,group,2024-02-17,2024-03-07,0,0,0,,,,,
1.3.1,"Refine attributes in ERD",task,2024-02-17,2024-02-22,0,0,0,,,,,blue2
1.3.2,"Debug docker issues",task,2024-02-17,2024-02-29,0,0,0,,,,,blue2
1.3.3,"Populate database schema, airports, aircraft, and flights",task,2024-02-17,2024-03-05,0,0,0,,,,,blue2
1.3.4,"Time table first designs and prototyping",task,2024-02-22,2024-03-05,0,0,0,,,,,blue2
1.3.5,"Create functions for table operations",task,2024-03-02,2024-03-07,0,0,0,,,,,blue2
1.3.6,"Get a flight in our time table",task,2024-03-05,2024-03-07,0,0,0,,,,,blue2
1.4,"Implementation (Features)",group,2024-03-08,2024-04-04,0,0,0,,,,,
1.4.1,"Unit testing (every feature)",task,2024-03-08,2024-04-04,0,0,0,,,,,red1
1.4.2,"Modules and stubs",task,2024-03-08,2024-03-14,0,0,0,,,,,red1
1.4.3,"View time table",task,2024-03-08,2024-03-14,0,0,0,,,,,red1
1.4.4,"Create routes",task,2024-03-14,2024-03-21,0,0,0,,,,,red1
1.4.5,"Search routes",task,2024-03-14,2024-03-21,0,0,0,,,,,red1
1.4.6,"Edit timetable",task,2024-03-14,2024-03-21,0,0,0,,,,,red1
1.4.7,"Basic Simulation",task,2024-03-21,2024-03-31,0,0,0,,,,,red1
1.5,Testing,group,2024-04-05,2024-04-24,0,0,0,,,,,
1.5.1,"Begin module testing",task,2024-04-05,2024-04-13,0,0,0,,,,,yellow1
1.5.2,"End module testing",task,2024-04-13,2024-04-14,0,0,0,,,,,orange1
1.5.3,"Begin integration testing",task,2024-04-14,2024-04-24,0,0,0,,,,,yellow1
1.5.4,"End integration testing",task,2024-04-23,2024-04-24,0,0,0,,,,,orange1
1.5.5,Debugging,task,2024-04-05,2024-04-24,0,0,0,,,,,blue2
